id;idproject;user_editor;user_revisor;status;status_val;obs;area_km2;geom
33;1;NULL;NULL;NULL;NULL;NULL;0.27877272591625596;MULTIPOLYGON(((349279.50803663535 7444395.1465965435,349262.8950547398 7444385.177374711,349260.84192242206 7444371.427173581,349288.646550982 7444318.55933745,349288.646550982 7444301.9862726405,348588.646550982 7444301.9862726405,348588.646550982 7444701.9862726405,349288.646550982 7444701.9862726405,349288.646550982 7444384.241528368,349279.50803663535 7444395.1465965435)))
34;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((348588.646550982 7445101.9862726405,349288.646550982 7445101.9862726405,349288.646550982 7444701.9862726405,348588.646550982 7444701.9862726405,348588.646550982 7445101.9862726405)))
37;1;NULL;NULL;NULL;NULL;NULL;0.030327505155467296;MULTIPOLYGON(((348994.19085377816 7443899.004286655,348971.94907569373 7443879.639725263,348911.0717038077 7443895.297369012,348908.5897271362 7443901.9862726405,348993.89856212365 7443901.9862726405,348994.19085377816 7443899.004286655)),((348840.2156771565 7443886.0775417965,348841.1793805858 7443851.130913531,348891.1186107949 7443824.459713265,348890.92499874916 7443811.42011492,348777.67691655544 7443778.217999314,348773.02947990416 7443790.165031764,348793.10808016476 7443829.883302115,348786.07013347145 7443846.457269565,348767.6609627522 7443849.305806146,348753.6567625746 7443840.888537969,348718.629538785 7443777.280527919,348703.90827823186 7443769.117623143,348654.2575308521 7443791.13248443,348614.89799683995 7443781.259140617,348603.3910209723 7443772.149761269,348591.8840589615 7443763.040372177,348588.646550982 7443751.6541719055,348588.646550982 7443901.9862726405,348850.54106838885 7443901.9862726405,348840.2156771565 7443886.0775417965)))
38;1;NULL;NULL;NULL;NULL;NULL;0.22495911041285307;MULTIPOLYGON(((349256.4051735967 7444261.962129853,349239.13141628786 7444220.626454664,349263.8000812494 7444139.399691172,349260.1161151277 7444103.472172335,349237.09914713976 7444094.999503693,349221.3954914053 7444102.688123767,349197.3646919939 7444147.755258779,349185.4671398011 7444150.60556197,349174.5303715394 7444134.71927836,349144.0638925361 7444130.065849657,349123.739817554 7444113.703079497,349124.92375326913 7444036.405642953,349067.9229558726 7444029.925468234,349058.63218234276 7444013.34454312,349078.0874448095 7443951.587715212,349066.0343742012 7443923.002917429,349040.0820649936 7443929.565523563,349000.6540989287 7443964.439685192,348989.5592561487 7443946.256266002,348993.89856212365 7443901.9862726405,348908.5897271362 7443901.9862726405,348904.57732477237 7443912.799659019,348947.0402461265 7443951.802539432,348931.69454540795 7443974.7285999525,348880.81797357043 7443948.635075043,348850.54106838885 7443901.9862726405,348588.646550982 7443901.9862726405,348588.646550982 7444301.9862726405,349288.646550982 7444301.9862726405,349288.646550982 7444262.096888034,349256.4051735967 7444261.962129853)))
54;1;NULL;NULL;NULL;NULL;NULL;0.0005849609877639267;MULTIPOLYGON(((350115.5357759341 7444682.308060199,350092.62804135424 7444683.389332496,350067.1791485334 7444701.9862726405,350106.3811538868 7444701.9862726405,350115.5357759341 7444682.308060199)))
55;1;NULL;NULL;NULL;NULL;NULL;0.1967927018904362;MULTIPOLYGON(((350663.03854536347 7445001.984996319,350514.1369941097 7444954.071032377,350504.8003569917 7444910.737488784,350557.492327687 7444862.257849669,350560.4304056973 7444843.941383855,350502.86983664613 7444807.694393569,350493.7649422908 7444759.005124265,350461.5235366344 7444750.663369445,350388.68781292846 7444763.698904997,350332.02374478476 7444788.16791022,350275.35948030604 7444812.636710348,350247.18952165707 7444796.788066892,350238.9853194648 7444775.600476463,350221.5803387222 7444771.947452303,350196.7798109815 7444779.326945999,350171.97925745195 7444786.70628914,350134.0151337133 7444768.864679953,350093.54746170016 7444767.178488307,350091.38141711487 7444734.228784154,350106.3811538868 7444701.9862726405,350067.1791485334 7444701.9862726405,350063.877486698 7444704.398983007,350069.39785390405 7444773.752483906,350060.687950577 7444780.129781842,350051.978039699 7444786.50707506,350039.9743483011 7444782.986510847,349988.646550982 7444716.966938369,349988.646550982 7445101.9862726405,350688.646550982 7445101.9862726405,350688.646550982 7445031.367254779,350663.03854536347 7445001.984996319)))
72;1;NULL;NULL;NULL;NULL;NULL;0.06282218574798529;MULTIPOLYGON(((349862.51215006405 7444696.425280625,349840.3913328381 7444673.488897111,349820.1877382617 7444684.282789102,349813.5368742583 7444701.9862726405,349865.5904974886 7444701.9862726405,349862.51215006405 7444696.425280625)),((349667.14373172185 7444685.438060704,349690.9857805438 7444664.425421432,349724.298512265 7444658.711650092,349727.93548770534 7444646.901825077,349675.40626313793 7444608.6751961075,349677.3784697972 7444584.9290671535,349705.6914275887 7444556.433971184,349702.21484349016 7444541.403268728,349692.0153391225 7444539.484864939,349657.9031711349 7444562.950392349,349614.572599669 7444636.568133693,349590.67286513373 7444631.024962311,349565.74681987026 7444603.242497845,349539.00654222 7444595.038979323,349512.2662899913 7444586.83552201,349468.8753510171 7444536.93719127,349410.89229142864 7444546.308989115,349345.8245137343 7444537.445307465,349327.53785840457 7444525.38463579,349319.0617505949 7444494.036162492,349345.10694910027 7444461.722212004,349324.71747609257 7444410.84766396,349337.6099170807 7444348.290786287,349321.91375889594 7444344.543481556,349288.646550982 7444384.241528368,349288.646550982 7444701.9862726405,349669.89116748754 7444701.9862726405,349667.14373172185 7444685.438060704)),((349293.3197333117 7444309.673729176,349301.9051123779 7444301.9862726405,349288.646550982 7444301.9862726405,349288.646550982 7444318.55933745,349293.3197333117 7444309.673729176)))
73;1;NULL;NULL;NULL;NULL;NULL;0.2682961437863398;MULTIPOLYGON(((349982.81944074115 7444709.471909419,349966.2864077669 7444704.678979151,349953.18063344696 7444709.245292066,349925.5846028951 7444774.678654278,349905.30690573493 7444773.733414428,349865.5904974886 7444701.9862726405,349813.5368742583 7444701.9862726405,349796.1950795537 7444748.147219087,349740.8480742434 7444748.92965571,349719.6562860779 7444775.673768686,349697.5088294492 7444782.271172577,349679.8375833017 7444761.895006072,349669.89116748754 7444701.9862726405,349288.646550982 7444701.9862726405,349288.646550982 7445101.9862726405,349988.646550982 7445101.9862726405,349988.646550982 7444716.966938369,349982.81944074115 7444709.471909419)))
76;1;NULL;NULL;NULL;NULL;NULL;0.0038537198885362396;MULTIPOLYGON(((349308.91109338787 7444295.713029015,349384.52754423703 7444268.528207641,349391.85383004695 7444247.2982732225,349372.9454072494 7444230.724117421,349356.7718275357 7444229.831503354,349317.2980225389 7444262.216641608,349288.646550982 7444262.096888034,349288.646550982 7444301.9862726405,349301.9051123779 7444301.9862726405,349308.91109338787 7444295.713029015)))
90;1;NULL;NULL;NULL;NULL;NULL;0.011494965256749692;MULTIPOLYGON(((351294.20188975445 7445088.618905025,351276.61407614313 7445083.065530902,351213.8663157543 7445101.9862726405,351304.0404712446 7445101.9862726405,351294.20188975445 7445088.618905025)),((351110.7315008958 7445068.319611281,351069.38407521904 7445066.281417627,351001.20534939086 7445039.726091243,350988.26533818105 7445041.61756089,350977.4785416048 7445057.264846103,350967.6541222854 7445101.9862726405,351190.3706204439 7445101.9862726405,351110.7315008958 7445068.319611281)),((350785.6504103846 7445061.910338266,350747.1710394905 7445096.046542523,350712.94475314027 7445098.721193211,350701.7838537252 7445089.683488125,350693.5290893059 7445036.969409242,350688.646550982 7445031.367254779,350688.646550982 7445101.9862726405,350839.42166257347 7445101.9862726405,350785.6504103846 7445061.910338266)))
