id;area_km2;municipio;cod_estado;cod_class;class;obs;st_astext
11;4.0089940745975195e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((448157.1665333699 7441941.291527323,448216.6565393917 7441878.851517007,448137.4465218933 7441543.941541427,448120.7265121384 7441475.1715324465,448072.71655338275 7441457.821523459,447909.8265158693 7441582.261518508,447915.7265174235 7441642.121505037,447914.17653623584 7441681.781520475,448105.216513899 7441576.531531384,448118.4365334471 7441710.541518825,448157.1665333699 7441941.291527323)))
12;1.7458821522427868e-12;Taubate;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((447532.6535684041 7441487.249207148,447517.8752356929 7441456.9493411025,447504.60793853365 7441427.61644035,447502.3419646341 7441408.911979389,447500.41458712035 7441397.387597248,447497.90071038884 7441388.3715998735,447494.1652110402 7441378.158214929,447483.03166426334 7441364.946722914,447472.954057688 7441356.344134907,447444.26516319485 7441331.769363735,447423.81812917866 7441315.9846417885,447401.4455951562 7441300.397912682,447379.1678588067 7441285.228771979,447352.8536233769 7441267.12522058,447332.7915746978 7441253.409987165,447328.4389569483 7441250.805158383,447319.0172806966 7441244.607701967,447324.6820783748 7441264.368879146,447328.096224129 7441278.215828905,447334.9705554887 7441300.798129847,447339.7258782066 7441325.385538927,447342.02883060294 7441337.760601057,447345.83762627584 7441355.513607114,447351.61885995686 7441377.531499596,447369.98544282606 7441392.395727874,447380.2871482171 7441400.005919646,447398.83345559373 7441414.632837454,447409.37638225046 7441423.224488463,447414.5455643197 7441427.7295230385,447429.29444669606 7441441.302053377,447442.104271668 7441450.528478881,447457.4984354368 7441463.274510061,447472.81008797715 7441471.934056019,447485.63651559554 7441475.287273165,447515.0484286402 7441482.377496511,447532.6535684041 7441487.249207148)))
13;1.5558165439171555e-12;Taubate;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((448046.4199703692 7441385.381007666,448072.07465540676 7441455.812652738,448088.48441857926 7441446.150948195,448142.99364281667 7441413.317344809,448241.18716264283 7441359.207171913,448320.6495332206 7441320.037523502,448316.9358786895 7441303.716927886,448275.21314045944 7441320.034670093,448266.3884816616 7441313.231017437,448266.0629439211 7441268.747835325,448046.4199703692 7441385.381007666)))
14;1.8483587323751327e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((435140.00768390286 7453376.0608715145,435129.06872009137 7453404.887702526,435249.1858113975 7453479.265841651,435280.56896542903 7453439.47925108,435326.5963982817 7453383.763731569,435181.5119861905 7453285.695072793,435158.4266319245 7453285.196414465,435147.97450137726 7453298.740274142,435142.214939679 7453318.758600568,435158.02861938847 7453338.135020439,435140.00768390286 7453376.0608715145)))
15;5.1163135813551435e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((447909.8365267685 7441582.261522693,448072.71655338275 7441457.821523459,448048.396548215 7441387.751524262,447963.9465182449 7441161.211524245,447860.12654103106 7441354.001527718,447788.9165231444 7441490.941511191,447800.63652705966 7441514.751500977,447823.3765173886 7441510.921498997,447837.75653024897 7441514.201501749,447907.19653262576 7441555.74152196,447909.8365267685 7441582.261522693)))
16;1.8086536532194755e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((448089.96653129475 7442011.8315195795,448157.1665333699 7441941.291527323,448118.4365334471 7441710.541518825,448041.62651346147 7441723.881542042,448089.96653129475 7442011.8315195795)))
17;2.136545363525249e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((448273.38652148814 7441819.30153304,448333.53651658347 7441756.161512084,448347.18650807516 7441690.771507515,448302.0465172352 7441634.361527018,448239.3465043331 7441523.231514141,448242.0965115242 7441519.021522353,448156.9064977245 7441488.251527524,448180.5465158991 7441529.301527901,448273.38652148814 7441819.30153304)))
18;1.8508911454841297e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((448216.6565393917 7441878.851517007,448273.38652148814 7441819.30153304,448180.5365112844 7441529.291529642,448156.90650399716 7441488.241533257,448120.7265121384 7441475.1715324465,448137.4465218933 7441543.941541427,448216.6565393917 7441878.851517007)))
19;1.8222314803772694e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((447885.15652481955 7441749.161505222,447973.02653405175 7441738.8814956155,448041.62651346147 7441723.881542042,448118.4365334471 7441710.541518825,448105.216513899 7441576.531531384,447914.17653623584 7441681.781520475,447912.6365382203 7441721.211515833,447885.15652481955 7441749.161505222)))
69;2.9148689037648793e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((450763.612235989 7433984.631439211,450714.6803098388 7434007.394848205,450483.70761212753 7434131.626701204,450499.5218425262 7434163.338510493,450527.47658739955 7434175.985993909,450562.52423072135 7434201.757396314,450759.3939617296 7434098.153072877,450787.98615714314 7434084.055628403,450819.33391628746 7434066.692233814,450831.9777267356 7434061.275564214,450842.42754530587 7434055.305794251,450858.36861916713 7434048.808309371,450843.04140079627 7434035.657428581,450820.032598992 7434021.389452724,450796.4694538678 7434008.757187763,450763.612235989 7433984.631439211)))
