id;area_km2;municipio;cod_estado;cod_class;class;obs;st_astext
1277;5.328851043904187e-12;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((346798.34844435804 7445805.908033055,346627.44150795205 7445804.703363068,346602.9294885928 7446158.564519782,346754.2486023144 7446194.543080269,346798.34844435804 7445805.908033055)))
1366;1.509736564886442e-13;Atibaia;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((340842.3334528392 7438392.656475028,340847.0799973804 7438462.622471241,340855.9381657875 7438456.16242803,340891.4989569555 7438418.306910151,340842.3334528392 7438392.656475028)))
1455;2.413015992967421e-12;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((344620.62737660616 7443505.39356025,344498.0279272344 7443511.2214960335,344453.19645297475 7443753.352666205,344605.20849114243 7443719.964542553,344584.8609063586 7443562.938727581,344620.62737660616 7443505.39356025)))
1278;2.1463675859053906e-12;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((332582.20331051276 7452168.696616508,332227.30322873674 7452239.634898435,332221.48764374835 7452243.397028733,332218.9096617304 7452252.662744686,332212.40978007205 7452268.4454697985,332209.24837282207 7452280.711740691,332205.7876101767 7452295.161632009,332201.51438114187 7452308.508969929,332597.7327405036 7452230.650965736,332582.20331051276 7452168.696616508)))
1167;9.578457753566653e-13;Atibaia;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((330387.3938546898 7454533.484824492,330355.074786206 7454570.8508212175,330338.9244571511 7454588.713695155,330322.78026708827 7454606.029816741,330324.3434310667 7454613.703079203,330377.72923661885 7454705.189075826,330385.21353749617 7454700.461537759,330389.4479313228 7454691.322644269,330401.117228601 7454681.830311195,330409.80709879484 7454667.164006734,330427.2827483114 7454653.690564169,330433.4857685894 7454640.089857649,330437.71482095995 7454630.841504604,330445.21847072593 7454623.81743813,330387.3938546898 7454533.484824492)))
1168;2.016023255237205e-12;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((330875.52471217 7439988.59351659,330751.9235686357 7440028.560890097,330758.4647821134 7440051.825452423,330888.1387743777 7440016.032071697,330987.2209766068 7439966.442641011,330918.48975782935 7439831.617955793,330871.26222084416 7439714.620139709,330864.1583561521 7439751.902865436,330868.03540480364 7439774.99068144,330861.7472609405 7439834.251584457,330851.05308172846 7439911.099011285,330854.9014806245 7439934.259110453,330875.52471217 7439988.59351659)))
1183;7.471854316434654e-12;Atibaia;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((330111.8194556283 7441072.769944112,330100.20778778533 7441079.193914723,330092.4666700751 7441083.4765587,330076.02242799243 7441080.0113618355,330055.5894877268 7441089.066616187,330042.07467176643 7441117.868955363,330036.220136574 7441149.49026696,330030.88387700956 7441183.849273605,330022.70114931336 7441226.917411724,330163.0147019881 7441354.174430506,330167.3690052725 7441406.127515856,330184.812239437 7441515.050622656,330194.0740583035 7441570.338135941,330200.6758970292 7441617.946539159,330220.25526175107 7441732.359024924,330222.5816587257 7441745.22505508,330237.2434534519 7441736.376696822,330306.41609328217 7441693.453687726,330385.03368435364 7441641.349644034,330334.09998111543 7441433.155140852,330325.07059482136 7441405.734804233,330297.7435778571 7441392.858151639,330275.8422574843 7441386.053002493,330198.7633915175 7441254.598988799,330183.3680201818 7441255.516666901,330170.20749054744 7441253.181593608,330154.9488233457 7441242.081078218,330143.6353387189 7441222.283913594,330134.513227443 7441203.058007184,330127.03309131396 7441184.397144394,330123.9480775788 7441165.78630536,330121.4186756701 7441146.635465269,330123.2532963648 7441130.266019819,330140.52665089606 7441109.155154357,330155.0654616511 7441086.920511197,330135.33111300436 7441082.871610418,330111.8194556283 7441072.769944112)))
1184;3.849672561464078e-12;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((339951.3973603599 7444897.040793061,339893.3124613395 7445086.584851446,339854.9043835505 7445183.443294545,339839.86858039605 7445201.861964503,339812.6263698478 7445231.079163132,339870.6816255538 7445301.101670596,339926.1535573235 7445355.795517607,339960.69148850243 7445312.447841439,339989.6639134565 7445275.5982475635,340017.5196342722 7445240.376140514,340037.50087448675 7445222.010151442,340043.11873483314 7445210.594548927,340038.9096172541 7445193.062793991,340026.5980752702 7445162.329370384,340017.42000844725 7445146.930348791,340003.88678489625 7445127.659540114,339989.72224741516 7445116.032392181,339977.136109967 7445110.979614947,339951.3973603599 7444897.040793061)))
1169;4.65269289561434e-12;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((341545.0408718884 7437979.918935687,341570.30849445006 7437847.658667123,341603.8910094375 7437838.670118863,341599.65529619245 7437803.348117771,341570.89116213046 7437798.192159518,341526.96965097846 7437767.254780809,341496.5076556662 7437795.810571608,341476.4550519432 7437774.787693283,341460.4646053608 7437711.281184917,341364.4825805152 7437733.303932391,341341.6797329344 7437721.06308138,341299.0909717146 7437816.08628755,341322.8531630837 7437823.934442703,341324.70219823986 7437824.479908332,341326.5824494563 7437824.90548927,341328.48615241854 7437825.209428122,341328.48615241854 7437825.209428122,341347.534862057 7437827.625923529,341401.23918111355 7437813.621955158,341403.201682186 7437813.179914472,341405.1893957681 7437812.870390328,341407.19338417146 7437812.694774499,341409.2046365601 7437812.653856615,341411.2141094379 7437812.747820688,341413.21276726935 7437812.976244193,341415.1916232115 7437813.338100042,341417.1417793904 7437813.831761172,341419.05446704396 7437814.455007839,341420.9210858369 7437815.20503765,341422.7332426135 7437816.078478135,341424.48278908 7437817.071401912,341426.16185848485 7437818.179344324,341427.76290096337 7437819.397323569,341429.2787174941 7437820.719863055,341430.702492286 7437822.141016041,341432.0278233789 7437823.654392373,341433.24875150865 7437825.253187228,341434.35978679056 7437826.930211692,341435.3559335356 7437828.677925092,341436.2327125899 7437830.488468906,341436.9861815774 7437832.353702132,341437.61295253155 7437834.2652378,341438.11020723014 7437836.214480788,341438.47570976295 7437838.192666408,341438.47570976295 7437838.192666408,341445.1158587272 7437882.375391712,341378.6048299439 7437903.515474817,341389.682988508 7437955.723973284,341394.1973061218 7437971.947201181,341397.67042129533 7437990.862443328,341397.1760723656 7438008.517462329,341396.77313342213 7438021.6099147685,341393.035935779 7438026.366703365,341388.99421312055 7438030.867610168,341384.6654396399 7438035.093175721,341380.06833058374 7438039.025130995,341375.22276131535 7438042.646476392,341370.1496814046 7438045.941555185,341364.8710240768 7438048.896121287,341359.4096113413 7438051.497400764,341359.4096113413 7438051.497400764,341295.31028423714 7438079.481074749,341292.91109459766 7438080.442720497,341290.4578842287 7438081.25674285,341287.9597269587 7438081.920130946,341285.4258628518 7438082.430431068,341282.8656640578 7438082.78575575,341282.8656640578 7438082.78575575,341289.619998074 7438082.660132665,341305.75999807846 7438082.360132657,341321.899998081 7438082.060132651,341322.2499980724 7438082.050132647,341340.86999808555 7438074.20013265,341419.35999809345 7438041.11013259,341419.0399980825 7438038.940132594,341460.66999810515 7438020.330132578,341491.9799980987 7438012.300132554,341525.10999810393 7437996.800132535,341555.7899981128 7438019.860132515,341592.8599981206 7438052.810132501,341600.4156309526 7438025.45306479,341545.0408718884 7437979.918935687)))
1170;2.4019880817625643e-12;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((340567.08781485824 7432186.235213021,340575.19509252463 7432239.184696153,340557.5761695999 7432242.868902249,340554.9625577146 7432270.746663112,340531.0110582148 7432272.27204533,340567.18607479194 7432330.440917876,340630.34856873954 7432326.270752818,340764.29106096167 7432233.003915078,340673.0201835822 7432133.560052112,340656.0346537919 7432137.745190859,340648.0662060783 7432137.654889418,340640.8795187591 7432141.836965657,340622.75691272214 7432142.386530904,340605.7692629153 7432142.548730155,340600.1775709635 7432146.08028185,340590.5388813991 7432150.061478587,340581.7383369133 7432159.07154792,340573.56640737585 7432165.148102969,340569.99803928577 7432173.13917705,340567.08781485824 7432186.235213021)))
1171;2.9560858082038093e-13;Atibaia;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((333547.92258094775 7452027.166347949,333539.3412981356 7452036.579780825,333528.0415583183 7452050.569875934,333516.8832299736 7452063.770025205,333508.01370515267 7452073.961412925,333497.92974440346 7452085.986233058,333525.1998755332 7452113.942122506,333543.0174487142 7452097.044880912,333558.07320612826 7452082.168059263,333569.6204598991 7452069.325749198,333581.3405059134 7452055.818742268,333547.92258094775 7452027.166347949)))
