id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
3096;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7451101.9862726405,459888.646550982 7451101.9862726405,459888.646550982 7450701.9862726405,459188.646550982 7450701.9862726405,459188.646550982 7451101.9862726405)))
3097;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7451501.9862726405,459888.646550982 7451501.9862726405,459888.646550982 7451101.9862726405,459188.646550982 7451101.9862726405,459188.646550982 7451501.9862726405)))
3098;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7451901.9862726405,459888.646550982 7451901.9862726405,459888.646550982 7451501.9862726405,459188.646550982 7451501.9862726405,459188.646550982 7451901.9862726405)))
3099;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7452301.9862726405,459888.646550982 7452301.9862726405,459888.646550982 7451901.9862726405,459188.646550982 7451901.9862726405,459188.646550982 7452301.9862726405)))
3100;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7449501.9862726405,459888.646550982 7449501.9862726405,459888.646550982 7449101.9862726405,459188.646550982 7449101.9862726405,459188.646550982 7449501.9862726405)))
3101;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7449901.9862726405,459888.646550982 7449901.9862726405,459888.646550982 7449501.9862726405,459188.646550982 7449501.9862726405,459188.646550982 7449901.9862726405)))
3102;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7450301.9862726405,459888.646550982 7450301.9862726405,459888.646550982 7449901.9862726405,459188.646550982 7449901.9862726405,459188.646550982 7450301.9862726405)))
3103;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7450701.9862726405,459888.646550982 7450701.9862726405,459888.646550982 7450301.9862726405,459188.646550982 7450301.9862726405,459188.646550982 7450701.9862726405)))
3104;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7447901.9862726405,459888.646550982 7447901.9862726405,459888.646550982 7447501.9862726405,459188.646550982 7447501.9862726405,459188.646550982 7447901.9862726405)))
3105;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7448301.9862726405,459888.646550982 7448301.9862726405,459888.646550982 7447901.9862726405,459188.646550982 7447901.9862726405,459188.646550982 7448301.9862726405)))
3106;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7448701.9862726405,459888.646550982 7448701.9862726405,459888.646550982 7448301.9862726405,459188.646550982 7448301.9862726405,459188.646550982 7448701.9862726405)))
3107;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7449101.9862726405,459888.646550982 7449101.9862726405,459888.646550982 7448701.9862726405,459188.646550982 7448701.9862726405,459188.646550982 7449101.9862726405)))
3108;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7446301.9862726405,459888.646550982 7446301.9862726405,459888.646550982 7445901.9862726405,459188.646550982 7445901.9862726405,459188.646550982 7446301.9862726405)))
3109;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7446701.9862726405,459888.646550982 7446701.9862726405,459888.646550982 7446301.9862726405,459188.646550982 7446301.9862726405,459188.646550982 7446701.9862726405)))
3110;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7447101.9862726405,459888.646550982 7447101.9862726405,459888.646550982 7446701.9862726405,459188.646550982 7446701.9862726405,459188.646550982 7447101.9862726405)))
3111;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7447501.9862726405,459888.646550982 7447501.9862726405,459888.646550982 7447101.9862726405,459188.646550982 7447101.9862726405,459188.646550982 7447501.9862726405)))
3112;NULL;NULL;NULL;NULL;NULL;0.15495483019850637;MULTIPOLYGON(((459371.46594259026 7452595.272639973,459465.890723502 7452548.654259134,459562.24552057544 7452467.633163597,459600.18455030944 7452448.520247766,459708.57109764323 7452428.743429542,459736.5300855451 7452433.325210333,459856.6480556576 7452521.69383342,459888.646550982 7452568.136558032,459888.646550982 7452301.9862726405,459188.646550982 7452301.9862726405,459188.646550982 7452625.70957644,459371.46594259026 7452595.272639973)))
3113;NULL;NULL;NULL;NULL;NULL;0.27378662288818856;MULTIPOLYGON(((459974.3632794962 7452692.546108438,459989.6611683453 7452701.9862726405,460588.646550982 7452701.9862726405,460588.646550982 7452301.9862726405,459888.646550982 7452301.9862726405,459888.646550982 7452568.136558032,459974.3632794962 7452692.546108438)))
3114;NULL;NULL;NULL;NULL;NULL;0.19831540563946806;MULTIPOLYGON(((460081.92254024086 7452758.919782151,460117.29769615945 7452802.243058151,460136.0421370374 7452855.364647626,460138.5059489788 7452898.069898436,460114.0202796265 7452961.947162177,460056.059061673 7453048.880036814,460048.5761342188 7453090.482895749,460049.5073356871 7453101.9862726405,460588.646550982 7453101.9862726405,460588.646550982 7452701.9862726405,459989.6611683453 7452701.9862726405,460081.92254024086 7452758.919782151)))
3159;analista 4;andamento;NULL;NULL;NULL;0.28;MULTIPOLYGON(((454288.646550982 7438701.9862726405,454988.646550982 7438701.9862726405,454988.646550982 7438301.9862726405,454288.646550982 7438301.9862726405,454288.646550982 7438701.9862726405)))
3115;NULL;NULL;NULL;NULL;NULL;0.17964020866152272;MULTIPOLYGON(((460053.7972740134 7453154.98101018,460079.5892088459 7453235.017396444,460151.73113235814 7453347.737182103,460264.3508580457 7453468.28056123,460306.9512008146 7453501.9862726405,460588.646550982 7453501.9862726405,460588.646550982 7453101.9862726405,460049.5073356871 7453101.9862726405,460053.7972740134 7453154.98101018)))
