id;area_km2;municipio;cod_estado;cod_class;class;obs;st_astext
962;3.4105349987701033e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((501920.0036259813 7501906.99428607,502194.59556179726 7502150.192414321,502247.8920470239 7502089.274370955,502218.73592156323 7502056.35654832,502107.93485405867 7501926.939468519,502003.6291030722 7501808.592507893,501956.20026051207 7501862.364130144,501920.0036259813 7501906.99428607)))
963;7.900045496980996e-12;Cruzeiro;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((493108.0319876892 7505586.198397648,493099.9826588366 7505591.603354834,493091.29438768374 7505577.5565403905,492984.9572907392 7505621.675115274,492905.4083231262 7505654.524785007,492879.55804105755 7505676.5550714135,492831.72920094227 7505703.350000059,492807.91830080474 7505715.942112474,492799.3968538158 7505708.889189869,492759.9645648899 7505755.542637123,492714.66609415883 7505794.709383881,492678.3768296505 7505837.218041091,492663.5524423393 7505864.675183836,492653.95555646415 7505889.194733652,492632.58224901697 7505918.3924309425,492524.3153595655 7506011.333410149,492522.8700466914 7506058.682646457,492524.7769619898 7506132.893454042,492600.7985166302 7506144.692812623,492688.2016559328 7506074.514020547,492724.5958430104 7505983.8591179345,492732.72482322284 7505937.772959229,492782.58617269347 7505894.872354122,492838.0174423204 7505852.034296388,492901.3149848584 7505801.297647109,492952.7387547069 7505758.422098551,492989.3837357712 7505722.01958956,493160.96851663047 7505610.350899662,493127.8842708698 7505592.787882237,493123.47494277114 7505586.205320492,493108.0319876892 7505586.198397648)))
964;2.2679881997948367e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((496824.19827882445 7501927.617877128,496755.261056761 7501980.509721702,496686.59924991854 7502034.772269945,496548.1729455645 7502142.748877935,496525.8381029094 7502154.805564182,496358.2016667396 7502186.881109645,496128.2504518113 7502236.442547868,496021.2704694198 7502258.619854904,496028.1555507581 7502287.953812603,496248.4574557671 7502241.13266956,496458.55688880244 7502194.306152418,496550.92246410705 7502176.234568516,496628.6841145412 7502117.313797107,496704.79214352753 7502055.651359883,496838.25332967733 7501955.307565119,496824.19827882445 7501927.617877128)))
965;2.174907792291739e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((505475.90494876145 7506607.10101656,505380.91131034074 7506624.892120255,505294.382229621 7506643.995805196,505296.0442184613 7506661.425303433,505300.2645074853 7506691.033521263,505293.12930917303 7506751.28760227,505344.43031726626 7506755.968412088,505455.2785108837 7506754.10860931,505496.2073207634 7506751.301903488,505475.90494876145 7506607.10101656)))
966;8.728014368858874e-12;Cruzeiro;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((506040.8425995951 7505642.848610992,506020.98902109254 7505647.243481189,505974.6682986691 7505668.648572903,505954.8144554499 7505672.494979632,505933.8539257514 7505667.019242192,505920.6130225735 7505656.605041897,505893.03135498834 7505644.002810168,505879.4870942929 7505660.222959969,505830.96560849913 7505696.434892337,505805.05285867164 7505721.670484662,505770.32404081523 7505769.941691898,505758.7507354751 7505794.07515172,505770.88897521154 7505805.586777738,506112.727665451 7506085.1898586275,506121.11689921276 7506030.209880281,506127.8509832483 7505974.133734001,506137.6119851767 7505901.604558559,506142.4189221371 7505853.755047699,506137.4247604878 7505778.012018681,506126.9273245103 7505732.499998387,506118.63037887204 7505696.011166779,506108.69113427436 7505666.950692669,506061.2639354922 7505679.582343897,506040.8425995951 7505642.848610992)))
967;2.5601989394342016e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((504606.23963456624 7506854.965028874,504603.48732357775 7506873.612374458,504604.04514811444 7506894.4524628725,504598.5355759256 7506915.294396173,504590.2680767395 7506936.137179535,504573.1748982669 7506955.885754842,504556.6340727984 7506978.376327613,504542.85177101824 7507003.059827474,504530.7254755722 7507032.130329249,504525.2157542454 7507052.972420564,504521.91252865386 7507074.362323153,504516.4031024926 7507096.301338254,504510.3430374154 7507121.531160472,504509.2456526884 7507141.275196396,504507.59587029286 7507158.277231883,504579.3022916559 7507157.1591569185,504579.8497958386 7507143.4480645275,504580.39664515253 7507127.543238785,504581.49671707617 7507117.122623389,504586.45708872745 7507103.958685325,504595.82884331467 7507086.405958168,504607.9560454707 7507060.625906767,504616.7774809247 7507047.460848391,504634.4221258624 7507027.163509202,504649.31145438965 7507015.641926354,504659.78782605566 7507003.2990256995,504670.26469357277 7506992.601427655,504700.59311356966 7506964.07376227,504713.2687658917 7506928.970360076,504717.12361163634 7506908.677303657,504718.7739769908 7506894.4176583905,504717.1162037527 7506884.54646378,504606.23963456624 7506854.965028874)))
968;6.538038227547603e-12;Cruzeiro;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((506322.33041155734 7508810.456473516,506266.5715897614 7508877.2537803855,506225.89940885984 7508896.74237301,506198.1941112947 7508918.369180211,506170.41631358414 7508922.744183581,506134.22869019076 7508937.895371458,506100.801401996 7509002.241987337,506061.07181395264 7509049.224878371,506013.4260051234 7509087.60258241,505956.01359477354 7509155.091184186,505926.50470368745 7509199.08537629,505958.5637024066 7509232.371586045,506015.5297869982 7509243.100486829,506060.42250839586 7509264.459774793,506121.06461172143 7509280.558590736,506147.1610926368 7509287.846103734,506169.39859817934 7509186.494364898,506196.5451049198 7509144.60198166,506225.14489542955 7509087.401476021,506278.11060309695 7509055.610971151,506294.882704046 7509016.988487057,506286.1843076282 7508969.856665893,506298.86841067794 7508907.546574356,506307.38321381167 7508877.347482575,506322.33041155734 7508810.456473516)))
969;2.0054110340107646e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((490294.70288029575 7504872.549380049,490252.15314138186 7505004.128767994,490198.0757576191 7505049.60845959,490210.71969923173 7505113.775213532,490253.1959434828 7505098.996362932,490292.90516265394 7505099.021519986,490294.5597134477 7505099.022565968,490326.0293481897 7505046.399433874,490351.99087293074 7504982.257364454,490392.27257828775 7504948.284261963,490417.6414228378 7504949.396837282,490419.857734519 7504932.94742503,490294.70288029575 7504872.549380049)))
970;3.3602218562114376e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((500171.83002175135 7504755.792768443,500166.8665159219 7504758.534585787,500175.13918313954 7504767.856490026,500177.34544776345 7504789.242242265,500177.8971372009 7504805.144499825,500181.20628162916 7504814.466485497,500196.09717657766 7504832.562012844,500213.7458419763 7504864.914766477,500228.6368732111 7504886.300463155,500239.66718313 7504895.074010618,500255.6610800182 7504903.299115559,500286.54584411933 7504916.459159972,500299.7820883703 7504917.007265365,500320.7393557913 7504912.07161917,500347.21180292964 7504911.522685308,500373.1329119001 7504918.102374187,500416.1514484947 7504946.615920918,500459.1702596989 7504978.967921464,500497.12638579716 7505014.96096807,500510.9151299728 7505042.378620618,500525.80706655176 7505073.086453142,500530.2195492394 7505083.505214665,500537.94092320715 7505087.891859019,500555.03797528957 7505089.536343144,500564.96532292006 7505091.181073894,500575.44431206933 7505096.115964318,500586.4755993341 7505121.340333756,500601.91932479414 7505153.144960506,500612.9503024617 7505168.498793684,500619.01753970934 7505181.659364866,500630.0485549558 7505197.013213957,500663.69242491655 7505223.881854196,500672.5171176095 7505232.107007367,500684.09930445225 7505237.590189559,500695.13010222325 7505245.815238547,500712.77899593976 7505250.2013882,500734.28874887055 7505248.537364462,500740.2697513083 7505248.372733124,500754.05741570564 7505240.694886009,500767.29365482705 7505235.21053532,500768.3961209053 7505223.694727069,500762.8804772649 7505214.921100702,500614.8011515051 7505090.563574994,500578.99607934017 7505053.622574536,500558.72869696445 7505020.711086211,500529.6798197305 7504999.218446262,500516.16831006494 7504976.381915097,500499.9543284062 7504942.127027565,500485.09244028333 7504938.09745943,500469.55519008456 7504939.441290694,500423.8714189856 7504903.84375051,500389.67714778986 7504876.426795915,500375.88922562834 7504867.653434534,500351.0715547181 7504875.8793705795,500321.84162771795 7504876.4283679,500304.1932971416 7504873.138587721,500291.50838005636 7504861.074993065,500277.1689213705 7504846.818004378,500272.205161845 7504835.850983432,500255.10828593443 7504825.980884893,500249.0414388852 7504808.981990488,500236.3566181402 7504796.9184000995,500229.73846263014 7504790.886608626,500219.25988695817 7504792.531823071,500212.09023499826 7504786.500033552,500205.4721155335 7504782.113295772,500201.0601050304 7504784.306767933,500196.09646211285 7504776.629885389,500190.58130611695 7504767.8563060835,500181.20566025015 7504761.824538957,500175.6905494622 7504755.792724745,500171.83002175135 7504755.792768443)))
971;8.489764221537916e-12;Cruzeiro;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((499624.89904588426 7507961.318184996,499503.5392768909 7508072.105188027,499815.7540842993 7508391.324620307,500027.58158419334 7508313.441628119,500028.6848496107 7508314.538582139,499980.14134863886 7508244.333565266,499943.73395363084 7508208.134129932,499911.73972401203 7508175.225557027,499872.0229011429 7508139.026093369,499832.3061695736 7508111.602143036,499781.556939086 7508096.244328514,499741.84042414546 7508072.111036497,499715.36300633056 7508045.784055702,499706.53753464133 7508020.554356271,499692.195823321 7507998.615384292,499662.40851503593 7507989.839291092,499624.89904588426 7507961.318184996)))
