fid;correcao;status;obs;st_astext
1;excluir;NULL;NULL;POINT(430786.3280041356 7455756.711109979)
2;excluir;NULL;NULL;POINT(430898.73890406766 7457011.218857441)
3;excluir;NULL;NULL;POINT(432683.8290104251 7457438.381463181)
4;excluir;NULL;NULL;POINT(429923.00920912036 7458108.350792943)
5;corrigir atributo;NULL;NULL;POINT(430440.10185550555 7456853.843321223)
