id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
13;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7449101.9862726405,352788.646550982 7449101.9862726405,352788.646550982 7448701.9862726405,352088.646550982 7448701.9862726405,352088.646550982 7449101.9862726405)))
14;analista 2;finalizado;NULL;NULL;NULL;0.1288610146309912;MULTIPOLYGON(((352490.87570181396 7446240.912373483,352430.87980871287 7446166.3349168785,352342.9971128695 7445962.964042104,352326.41474782466 7445903.974106511,352326.40099772904 7445901.9862726405,352088.646550982 7445901.9862726405,352088.646550982 7446301.9862726405,352519.8148059983 7446301.9862726405,352490.87570181396 7446240.912373483)))
15;analista 2;finalizado;NULL;NULL;NULL;0.2194505992421713;MULTIPOLYGON(((352755.3275856276 7446640.754997531,352677.1135053078 7446578.884056725,352643.1607985942 7446538.32051556,352580.3599941775 7446429.7625401355,352519.8148059983 7446301.9862726405,352088.646550982 7446301.9862726405,352088.646550982 7446701.9862726405,352783.7190922184 7446701.9862726405,352755.3275856276 7446640.754997531)))
16;analista 2;finalizado;NULL;NULL;NULL;0.2799806358876665;MULTIPOLYGON(((352784.8450216864 7446704.414537474,352783.7190922184 7446701.9862726405,352088.646550982 7446701.9862726405,352088.646550982 7447101.9862726405,352788.646550982 7447101.9862726405,352788.646550982 7446709.02634724,352784.8450216864 7446704.414537474)))
17;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7447501.9862726405,352788.646550982 7447501.9862726405,352788.646550982 7447101.9862726405,352088.646550982 7447101.9862726405,352088.646550982 7447501.9862726405)))
18;analista 2;finalizado;NULL;NULL;NULL;0.03660149290209587;MULTIPOLYGON(((352221.20068001724 7452427.397639584,352254.6619199173 7452411.147105414,352271.7224636539 7452402.544856641,352338.98104041605 7452369.467889754,352455.78132913494 7452353.34171751,352511.3418283069 7452311.793440778,352519.60095561657 7452301.9862726405,352088.646550982 7452301.9862726405,352088.646550982 7452426.392925241,352221.20068001724 7452427.397639584)))
19;analista 2;finalizado;NULL;NULL;NULL;0.2218580539219611;MULTIPOLYGON(((353393.23708884435 7451030.595880309,353358.45192281285 7450898.106979609,353308.27766137215 7450823.343507859,353284.3580743785 7450767.88609288,353274.564499785 7450701.9862726405,352788.646550982 7450701.9862726405,352788.646550982 7451101.9862726405,353384.1355304693 7451101.9862726405,353393.23708884435 7451030.595880309)))
20;analista 2;finalizado;NULL;NULL;NULL;0.21092776034256433;MULTIPOLYGON(((353258.47301085666 7451410.252146523,353349.65222608304 7451247.88212675,353373.78996829933 7451183.134325729,353384.1355304693 7451101.9862726405,352788.646550982 7451101.9862726405,352788.646550982 7451501.9862726405,353239.5530432916 7451501.9862726405,353258.47301085666 7451410.252146523)))
21;analista 2;finalizado;NULL;NULL;NULL;0.14395086012586986;MULTIPOLYGON(((353108.0762546328 7451790.048053238,353176.2899939664 7451676.686320024,353228.8631027525 7451553.816824159,353239.5530432916 7451501.9862726405,352788.646550982 7451501.9862726405,352788.646550982 7451901.9862726405,353003.8023009129 7451901.9862726405,353108.0762546328 7451790.048053238)))
22;analista 2;finalizado;NULL;NULL;NULL;0.03669340237746312;MULTIPOLYGON(((352931.8881685605 7452074.997166767,352967.2183148365 7452030.12415831,353000.460012748 7451905.574223155,353003.8023009129 7451901.9862726405,352788.646550982 7451901.9862726405,352788.646550982 7452136.373681342,352931.8881685605 7452074.997166767)))
23;analista 2;finalizado;NULL;NULL;NULL;0.09808427765565275;MULTIPOLYGON(((353016.04272947717 7449432.136793462,353018.6722112333 7449373.430857293,353044.34391160734 7449277.454377452,353043.916771323 7449101.9862726405,352788.646550982 7449101.9862726405,352788.646550982 7449501.9862726405,353034.24859177734 7449501.9862726405,353016.04272947717 7449432.136793462)))
