fid;correcao;status;obs;st_astext
1;excluir;NULL;NULL;POINT(331977.0506455904 7452399.973613989)
2;excluir;NULL;NULL;POINT(329810.69046349823 7454159.5055928705)
3;fazer alerta;NULL;NULL;POINT(329393.69155520824 7452928.850278161)
4;fazer alerta;NULL;NULL;POINT(330044.6166803434 7451332.049580563)
5;corrigir atributo de imagem;NULL;NULL;POINT(328813.96136563417 7451749.0484888535)
6;corrigir atributo de imagem;NULL;NULL;POINT(327817.2322677703 7454067.969247148)
