id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
1906;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7498301.9862726405,506788.646550982 7498301.9862726405,506788.646550982 7497901.9862726405,506088.646550982 7497901.9862726405,506088.646550982 7498301.9862726405)))
1907;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7498701.9862726405,506788.646550982 7498701.9862726405,506788.646550982 7498301.9862726405,506088.646550982 7498301.9862726405,506088.646550982 7498701.9862726405)))
1908;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7508701.9862726405,506788.646550982 7508701.9862726405,506788.646550982 7508301.9862726405,506088.646550982 7508301.9862726405,506088.646550982 7508701.9862726405)))
1909;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7509101.9862726405,506788.646550982 7509101.9862726405,506788.646550982 7508701.9862726405,506088.646550982 7508701.9862726405,506088.646550982 7509101.9862726405)))
1910;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7509501.9862726405,506788.646550982 7509501.9862726405,506788.646550982 7509101.9862726405,506088.646550982 7509101.9862726405,506088.646550982 7509501.9862726405)))
1911;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7509901.9862726405,506788.646550982 7509901.9862726405,506788.646550982 7509501.9862726405,506088.646550982 7509501.9862726405,506088.646550982 7509901.9862726405)))
1912;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7507101.9862726405,506788.646550982 7507101.9862726405,506788.646550982 7506701.9862726405,506088.646550982 7506701.9862726405,506088.646550982 7507101.9862726405)))
1913;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7507501.9862726405,506788.646550982 7507501.9862726405,506788.646550982 7507101.9862726405,506088.646550982 7507101.9862726405,506088.646550982 7507501.9862726405)))
1914;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7507901.9862726405,506788.646550982 7507901.9862726405,506788.646550982 7507501.9862726405,506088.646550982 7507501.9862726405,506088.646550982 7507901.9862726405)))
1915;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7508301.9862726405,506788.646550982 7508301.9862726405,506788.646550982 7507901.9862726405,506088.646550982 7507901.9862726405,506088.646550982 7508301.9862726405)))
1916;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7505501.9862726405,506788.646550982 7505501.9862726405,506788.646550982 7505101.9862726405,506088.646550982 7505101.9862726405,506088.646550982 7505501.9862726405)))
1917;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7505901.9862726405,506788.646550982 7505901.9862726405,506788.646550982 7505501.9862726405,506088.646550982 7505501.9862726405,506088.646550982 7505901.9862726405)))
1918;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7506301.9862726405,506788.646550982 7506301.9862726405,506788.646550982 7505901.9862726405,506088.646550982 7505901.9862726405,506088.646550982 7506301.9862726405)))
1919;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7506701.9862726405,506788.646550982 7506701.9862726405,506788.646550982 7506301.9862726405,506088.646550982 7506301.9862726405,506088.646550982 7506701.9862726405)))
1920;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7503901.9862726405,506788.646550982 7503901.9862726405,506788.646550982 7503501.9862726405,506088.646550982 7503501.9862726405,506088.646550982 7503901.9862726405)))
1921;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7504301.9862726405,506788.646550982 7504301.9862726405,506788.646550982 7503901.9862726405,506088.646550982 7503901.9862726405,506088.646550982 7504301.9862726405)))
1922;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7504701.9862726405,506788.646550982 7504701.9862726405,506788.646550982 7504301.9862726405,506088.646550982 7504301.9862726405,506088.646550982 7504701.9862726405)))
1923;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7505101.9862726405,506788.646550982 7505101.9862726405,506788.646550982 7504701.9862726405,506088.646550982 7504701.9862726405,506088.646550982 7505101.9862726405)))
1924;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7511901.9862726405,506788.646550982 7511901.9862726405,506788.646550982 7511501.9862726405,506088.646550982 7511501.9862726405,506088.646550982 7511901.9862726405)))
1925;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7512301.9862726405,506788.646550982 7512301.9862726405,506788.646550982 7511901.9862726405,506088.646550982 7511901.9862726405,506088.646550982 7512301.9862726405)))
1926;analista 3;finalizado;NULL;NULL;NULL;0.2667097473655717;MULTIPOLYGON(((506703.3497495224 7512643.422477587,506769.9278773738 7512518.092140977,506788.646550982 7512491.785539175,506788.646550982 7512301.9862726405,506088.646550982 7512301.9862726405,506088.646550982 7512701.9862726405,506651.0789349086 7512701.9862726405,506703.3497495224 7512643.422477587)))
1927;analista 3;finalizado;NULL;NULL;NULL;0.07032267869875236;MULTIPOLYGON(((506102.70788504055 7512929.274528634,506165.3859098193 7512888.123246927,506327.90074720175 7512809.023083601,506370.8398438873 7512797.807157194,506431.7166346826 7512807.870177079,506558.05496501084 7512806.86883295,506615.1900055973 7512777.871689341,506646.8389099161 7512706.736762116,506651.0789349086 7512701.9862726405,506088.646550982 7512701.9862726405,506088.646550982 7512941.913633849,506102.70788504055 7512929.274528634)))
1928;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7510301.9862726405,506788.646550982 7510301.9862726405,506788.646550982 7509901.9862726405,506088.646550982 7509901.9862726405,506088.646550982 7510301.9862726405)))
1929;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7510701.9862726405,506788.646550982 7510701.9862726405,506788.646550982 7510301.9862726405,506088.646550982 7510301.9862726405,506088.646550982 7510701.9862726405)))
1930;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7511101.9862726405,506788.646550982 7511101.9862726405,506788.646550982 7510701.9862726405,506088.646550982 7510701.9862726405,506088.646550982 7511101.9862726405)))
1931;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7511501.9862726405,506788.646550982 7511501.9862726405,506788.646550982 7511101.9862726405,506088.646550982 7511101.9862726405,506088.646550982 7511501.9862726405)))
1932;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7495901.9862726405,507488.646550982 7495901.9862726405,507488.646550982 7495501.9862726405,506788.646550982 7495501.9862726405,506788.646550982 7495901.9862726405)))
1933;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7496301.9862726405,507488.646550982 7496301.9862726405,507488.646550982 7495901.9862726405,506788.646550982 7495901.9862726405,506788.646550982 7496301.9862726405)))
1934;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7496701.9862726405,507488.646550982 7496701.9862726405,507488.646550982 7496301.9862726405,506788.646550982 7496301.9862726405,506788.646550982 7496701.9862726405)))
1935;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7497101.9862726405,507488.646550982 7497101.9862726405,507488.646550982 7496701.9862726405,506788.646550982 7496701.9862726405,506788.646550982 7497101.9862726405)))
1936;analista 3;finalizado;NULL;NULL;NULL;0.055991620961356195;MULTIPOLYGON(((507426.1802835029 7494683.827889705,507330.0460883027 7494682.129083492,507055.7575387197 7494577.0155675365,506895.4655303233 7494582.964646824,506835.94769829296 7494573.651052269,506797.4509897808 7494544.790442618,506788.646550982 7494513.27049541,506788.646550982 7494701.9862726405,507466.6180950937 7494701.9862726405,507426.1802835029 7494683.827889705)))
1937;analista 3;finalizado;NULL;NULL;NULL;0.2798910516205193;MULTIPOLYGON(((507488.5629215014 7494711.840479525,507466.6180950937 7494701.9862726405,506788.646550982 7494701.9862726405,506788.646550982 7495101.9862726405,507488.646550982 7495101.9862726405,507488.646550982 7494711.836833595,507488.5629215014 7494711.840479525)))
1938;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7495501.9862726405,507488.646550982 7495501.9862726405,507488.646550982 7495101.9862726405,506788.646550982 7495101.9862726405,506788.646550982 7495501.9862726405)))
1939;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7502301.9862726405,507488.646550982 7502301.9862726405,507488.646550982 7501901.9862726405,506788.646550982 7501901.9862726405,506788.646550982 7502301.9862726405)))
1940;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7502701.9862726405,507488.646550982 7502701.9862726405,507488.646550982 7502301.9862726405,506788.646550982 7502301.9862726405,506788.646550982 7502701.9862726405)))
1941;analista 3;finalizado;NULL;NULL;NULL;0.27432266682543904;MULTIPOLYGON(((507445.5330516176 7503036.117768114,507445.5952498065 7502977.468308805,507488.646550982 7502914.341991754,507488.646550982 7502701.9862726405,506788.646550982 7502701.9862726405,506788.646550982 7503101.9862726405,507477.35654863867 7503101.9862726405,507445.5330516176 7503036.117768114)))
1942;analista 3;finalizado;NULL;NULL;NULL;0.2798494675879663;MULTIPOLYGON(((507488.646550982 7503493.134499041,507488.646550982 7503125.354401227,507477.35654863867 7503101.9862726405,506788.646550982 7503101.9862726405,506788.646550982 7503501.9862726405,507484.4396429372 7503501.9862726405,507488.646550982 7503493.134499041)))
1943;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7500701.9862726405,507488.646550982 7500701.9862726405,507488.646550982 7500301.9862726405,506788.646550982 7500301.9862726405,506788.646550982 7500701.9862726405)))
1944;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7501101.9862726405,507488.646550982 7501101.9862726405,507488.646550982 7500701.9862726405,506788.646550982 7500701.9862726405,506788.646550982 7501101.9862726405)))
1945;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7501501.9862726405,507488.646550982 7501501.9862726405,507488.646550982 7501101.9862726405,506788.646550982 7501101.9862726405,506788.646550982 7501501.9862726405)))
