id;idproject;area_km2;municipio;cod_estado;cod_class;class;obs;geom
24;1;0.08069473269175312;Atibaia;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((333446.6428734844 7441546.145993772,333440.1846853959 7441556.617707273,333438.0972865878 7441569.323573471,333433.4096539427 7441595.496077841,333433.7153257929 7441617.353513056,333425.6393909338 7441627.09775652,333423.8982718842 7441635.410198117,333414.4777746892 7441642.544277618,333397.31083435554 7441654.5091164755,333391.6568788915 7441668.787794434,333785.7834723267 7441950.728929349,333925.9243945769 7441824.986109342,333446.6428734844 7441546.145993772)))
25;1;0.03904625549793169;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((349073.92484892346 7447596.957422994,349066.98042332265 7447593.664544353,349058.3085500856 7447587.10384961,349003.49006657966 7447558.820257572,348946.34948764415 7447537.084337855,348910.7942834019 7447528.345537623,348914.71445367264 7447598.020075264,348913.3124954436 7447634.435719807,348917.1951527209 7447666.816413506,348921.41059356125 7447728.427476725,348926.2350270608 7447768.923920983,348927.3800012919 7447800.285983982,348924.3711147144 7447834.490444798,348921.3652917844 7447874.784051612,348919.15972337965 7447901.913836647,348935.7805770909 7447888.510301098,348970.0234673425 7447870.613246707,348982.3242337515 7447867.510635108,348996.5185649451 7447856.27667516,349023.16876916704 7447842.851996537,349021.53864038974 7447832.223537748,349018.2453071866 7447820.405787781,349014.2740043131 7447806.966844118,349018.94803720474 7447787.576372201,349020.48997464 7447766.418925395,349025.26713895646 7447746.3643582035,349030.41200086527 7447732.9013160765,349043.19714265317 7447715.870781549,349060.2693911124 7447683.733703291,349062.5217209718 7447675.004312835,349065.57508159126 7447666.692052531,349066.50498175883 7447649.568750476,349069.1871181926 7447629.284875531,349073.5562380931 7447607.648185065,349073.92484892346 7447596.957422994)))
26;1;0.0730191945067387;Atibaia;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((336718.491149926 7433483.649378672,336538.7808527305 7433646.037538156,336586.04574452876 7433692.698189765,336624.5250721883 7433739.262350495,336679.4090890773 7433792.286215024,336736.5853708693 7433836.598279228,336808.3365449923 7433904.004593296,336811.58328321576 7433908.408687275,336872.0578797918 7433852.281323893,336904.0083070817 7433818.229754165,336933.6426608689 7433795.07397978,336954.2118239179 7433722.1278159525,336897.41079881287 7433693.656637531,336890.28151368914 7433692.759419598,336885.3845210455 7433688.610344271,336859.0861786675 7433733.098561695,336809.3876142782 7433707.981200103,336804.9828573538 7433709.025008705,336780.6548847179 7433724.047757064,336745.4716761749 7433702.365684178,336712.5806856201 7433671.971874069,336770.7177347124 7433628.652399036,336813.0328754996 7433575.876511919,336718.491149926 7433483.649378672)))
27;1;0.08380655676689172;Atibaia;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((333673.28124437516 7441530.848619279,333502.2459414003 7441437.024961549,333490.47067246237 7441455.255519865,333483.2311996303 7441472.724451639,333476.7271177964 7441484.737632984,333463.96730255935 7441512.190859259,333440.38500980946 7441556.731774817,333477.7359247306 7441577.800514221,333503.87641548 7441592.103913521,333533.3213704552 7441607.188444743,333564.22167247324 7441622.908096647,333584.9831344285 7441633.470185196,333606.78414809133 7441646.187573129,333626.9943174642 7441659.385268107,333652.8580441097 7441671.603678744,333674.14902399003 7441683.895703318,333699.04213085934 7441698.72406236,333720.14901987615 7441710.981715941,333744.60534489196 7441723.435310449,333764.4120813733 7441734.362562746,333775.4087887907 7441741.331485143,333804.5043482095 7441756.601991853,333830.2256655663 7441768.994286586,333852.99790511705 7441779.295357939,333952.8475310807 7441824.427078302,333979.0552456542 7441766.069635878,333998.0936533303 7441732.272019025,334013.1683266891 7441731.488964081,334033.02201894764 7441725.446313878,334036.00868872856 7441719.603832606,334067.83985357743 7441631.257907674,334037.6144156888 7441623.321816761,333944.8846413209 7441678.708142509,333850.07403914444 7441625.314319208,333827.04222753836 7441611.805459254,333801.14158897626 7441598.688600885,333765.6102826226 7441578.495632912,333744.72706727096 7441568.224749569,333711.2876679312 7441551.377523756,333673.28124437516 7441530.848619279)))
28;1;0.043384072582318474;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((336225.204763336 7439518.4571215585,336156.61731103115 7439535.730904564,336262.44118416647 7440105.2944237795,336284.67223943246 7440082.047961702,336309.69782133197 7440054.4618730415,336289.78843158355 7440028.841210568,336277.08412045834 7440016.273830803,336262.51898354397 7440007.441725068,336331.5730040643 7439915.670642845,336225.204763336 7439518.4571215585)))
29;1;0.019875684346895513;Atibaia;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((336104.60396135104 7434041.937226251,336107.61554939346 7434037.561280438,336112.7644153647 7434027.134528674,336116.3645775263 7434014.730938405,336123.21167120605 7434001.6949785445,336126.3422604378 7433990.342347394,336131.4272326562 7433977.885962859,336135.7809046583 7433971.111943428,336141.722690913 7433955.736965368,336145.8308342912 7433946.134395041,336149.0801349409 7433936.536050415,336153.86961929174 7433924.63114319,336156.2302998012 7433912.387831816,336161.1677502303 7433904.405245621,336164.83321601676 7433894.406829294,336169.9422613176 7433880.97680123,336174.7483836711 7433867.8970370665,336181.7005056507 7433856.233426165,336187.5770417785 7433847.048303919,336192.54238636757 7433836.208310541,336195.224890446 7433825.185054267,336198.9549115412 7433814.978035504,336204.4976909462 7433806.641418295,336210.9898917335 7433792.535732811,336207.6204817393 7433791.310657478,336182.0343657554 7433792.042866836,336188.05314558896 7433770.68560135,336181.0018830312 7433764.838552212,336170.0815281725 7433764.527072461,336155.4105702891 7433763.986271355,336144.59635821445 7433763.616930862,336136.3944337799 7433765.360232849,336124.9925762691 7433770.687864557,336113.4406307483 7433779.443024265,336104.9520101659 7433789.434036955,336088.14719868836 7433813.463636916,336078.02008291136 7433828.406551722,336065.8476321766 7433844.97412246,336104.60396135104 7434041.937226251)))
30;1;0.0548434372308347;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((331020.58580469846 7447369.317400516,330946.9511673091 7447427.498975371,330963.90166948846 7447453.9980214685,330987.80902807135 7447484.781383952,331002.6789344962 7447503.407436138,331029.37354089133 7447540.682257377,331048.01026795834 7447565.704061562,331072.40925910603 7447561.569401957,331086.7819867514 7447572.646566914,331111.25250512466 7447585.383200669,331133.1213155845 7447585.190788593,331163.2610691095 7447583.747080656,331200.5700022187 7447568.474566838,331230.66911530896 7447553.407447206,331250.42997551756 7447540.696490538,331264.85528244096 7447527.77873108,331281.52974656504 7447514.952711018,331263.77175885765 7447494.5591226695,331238.1192572474 7447468.923130298,331221.44017104624 7447449.663903557,331176.4524617554 7447393.655297244,331137.70276273444 7447345.250798704,331108.537185376 7447312.291251563,331076.3303685705 7447271.686306335,331047.66766608926 7447237.551312815,331026.7319182599 7447216.190202273,331016.78504102514 7447194.278450757,331012.73515659233 7447163.013288358,330981.3747037168 7447173.999110702,330982.91676060477 7447188.062587723,330982.3216338753 7447213.30879554,330986.25478829874 7447223.331584433,331024.43320004607 7447268.827912813,331048.3645637436 7447294.677314655,331074.3137005159 7447325.004255483,331112.7897967566 7447368.948436802,331146.2043309233 7447406.1778133325,331125.6998899089 7447399.860978289,331082.193107003 7447380.185251397,331020.58580469846 7447369.317400516)))
31;1;0.05784269460461734;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((328086.9901722892 7449506.789675701,328187.61062063626 7449184.984593556,327853.9618547249 7449102.342140416,328086.9901722892 7449506.789675701)))
32;1;0.02199341712803839;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((349618.5013030969 7448863.995878916,349623.703399039 7448864.999591747,349628.15929903864 7448858.7279917225,349632.15589908377 7448858.861191738,349636.2418990646 7448860.0243917145,349643.5612990815 7448859.718991693,349654.4609991204 7448857.029991718,349660.1866990969 7448850.681291705,349672.31499911495 7448848.792891743,349677.1322991134 7448842.335691696,349689.054299082 7448840.764691671,349694.7642991229 7448833.275891729,349701.4735990288 7448831.058891683,349709.66138180846 7448833.000751957,349674.62699911767 7448743.240591673,349635.34149634384 7448746.191456629,349633.94109907956 7448742.439291725,349561.9858990289 7448549.645591725,349530.65829904715 7448556.123691744,349480.30179902917 7448400.774991766,349474.1831305637 7448405.087163862,349469.758203368 7448412.316680865,349486.4267990967 7448464.385391749,349502.82649904804 7448514.705891694,349529.49329908774 7448597.394891763,349543.78779912076 7448641.513791691,349556.5866990583 7448681.032491677,349567.10629906127 7448714.019191778,349589.73529909446 7448743.947991695,349593.16019909445 7448748.555991747,349598.59979907144 7448777.529491681,349592.8527990361 7448784.054491748,349618.5013030969 7448863.995878916)))
34;1;0.04840496360024021;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((332834.74241743714 7434517.363144541,332208.0136903064 7434817.195511501,332243.0439622757 7434876.570094826,332833.80437842105 7434600.905547792,332834.74241743714 7434517.363144541)))
